,Date,User,Tweet
27,2020-09-29 21:43:12+00:00,AngelaRayner,"The PM and his inept useless government stumble from one crisis to another, failing on #COVID19 failing on International Law, failing on planning, failing on PPE, failing students, failing on food standards, failing on impartial job appointments, failing on the Green agenda, 😩"
28,2020-09-29 21:41:12+00:00,Jasosamd,"The root of so much misadventure in medicine (maybe life) comes from mis-communication, late communication &amp; no communication. #COVID19 &amp; the isolation it has caused is exacerbating it. People, pick up the phone and call! #MedTwitter"
29,2020-09-29 21:37:01+00:00,Miss_HoA_T,"If ever I were to be fined, I’d never pay, the fines could mount up, they’d spend more money chasing me and subsequently imprisoning me because I will NEVER comply #cancelthecurfew #CoronavirusAct #COVID19"
30,2020-09-29 21:35:08+00:00,SteveCollinsSJ,"At @BatesCollege, they've done more than 20,000 #COVID19 tests since August, most on students, &amp; found just two positives. Both have recovered.
The Lewiston, Maine campus remains a pretty locked down place, with no visitors, lots of masks &amp; social distancing.
But it's been safe."
31,2020-09-29 21:19:46+00:00,TheNoahWeeks,"Btw Trump asked for Chris Wallace NOT to bring up the 205k+ #COVID19 deaths tonight. 

What does he want to talk about, the weather? Dang, nope — that means talking climate change..."
32,2020-09-29 21:15:00+00:00,NEJM,"The Moderna mRNA vaccine, which elicited antibodies and T cells specific for the Covid-19 virus in adults 55 years of age or younger, elicited similarly high levels of neutralizing-antibody and CD4 T-cell responses in older adults. 
#COVID19 #SARSCoV2"
33,2020-09-29 21:14:21+00:00,derekjames150,"So, #BorisJohnson's handling of #Covid19 was down at half time. And, early in the second half, he's just scored another own goal. Personally, I'd sack the manager now!"
34,2020-09-29 21:12:47+00:00,EricaRN4USA,"Seriously @JoeBiden reminds me of a backseat driver when it comes to the corona virus. It astonishes me that anyone would trust him over @realDonaldTrump who has tried to keep us safe. Not all of those who died, died from #COVID19 #DebateTuesday #FourMoreYears"
35,2020-09-29 21:12:44+00:00,JJKALE2,"Brendan Murphy and Scott Morrison had a #COVID19 plan - it was called ""Herd Immunity"" 

Remember?

#AuspolSoCorrupt"
36,2020-09-29 21:11:11+00:00,IsraelPremTech,Our team managers  in #BinckBankTour just got a word that tomorrow second stage TT is CANCELED due the  #COVID19 situation in the Netherlands 🇳🇱 where the TT was suppose to take place. Next:
37,2020-09-29 21:10:55+00:00,Trumptweets2020,"Worldwide #COVID deaths just topped 1 MILLION but we’re STILL  #1 with 210k deaths!
TRUST me, it’ll magically disappear ANY DAY NOW!
I like to call it China Virus but since we have so many more deaths than other big countries, many are calling it #AmericaVirus &amp; #TrumpVirus!
SAD!"
38,2020-09-29 21:09:23+00:00,Tom_Gayle,Majority of my income comes from football. The main reason I’ve been able to remain financially stable during #COVID19 is because #pl #efl restarted. Football is keeping my family secure. If my broadcasting &amp; production skills can be of use to any clubs struggling please just ask
39,2020-09-29 21:04:58+00:00,Dr2NisreenAlwan,"It’s a deliberate catch 22! They don’t measure morbidity from #COVID19 in any meaningful way then turn around &amp; say well we don’t really know how big is the problem of #LongCovid bec all we have is stories not numbers so not doing anything about it until we know🤷🏻‍♀️
#CountLongCovid"
40,2020-09-29 21:01:22+00:00,ConorReddy95,"Deeply irresponsible comments from Martin Feeley on #rtept 

53ppl on trollies in UH Limerick as we head towards winter. #Covid19 hospitalisations on the rise

Letting virus rip will mean more chaos, more deaths, more harm.

Total disrespect for healthcare workers &amp; public health"
41,2020-09-29 20:56:41+00:00,paulreiddublin,"Risky behaviours in a pandemic need calling out, for all age groups. My money is on younger people being a major part of the solution to this difficult phase. When we connect with them, they have proven to be a powerful force for change. Let's all work on it. #COVID19 @HSELive"
42,2020-09-29 20:52:14+00:00,SenJackReed,"As we work to contain #COVID, we must also stop the spread of #disinformation that threatens public health. Intro'ed new bill w/ @maziehirono &amp; colleagues to provide $1 million booster shot to help immunize American public from false &amp; misleading info &amp; trace the spread."
43,2020-09-29 20:48:49+00:00,scottbudman,"#Breaking: Disney to layoff 28,000 employees.

Cites #coronavirus hitting its theme park business."
44,2020-09-29 20:47:30+00:00,megtirrell,Regeneron Chief Scientific Officer George Yancopoulos says the company hopes its just-announced data on its antibody drug candidate for #covid19 could support emergency use authorization
45,2020-09-29 20:45:29+00:00,SenJackyRosen,"We can’t let up on the fight against #COVID19. 

Wear a mask, practice social distancing, and wash your hands frequently."
46,2020-09-29 20:42:47+00:00,AlexBerenson,Flash poll: The best #Covid Governor has been:
47,2020-09-29 20:38:03+00:00,GrantRants,"NEW: @niagarahealth is now reporting, for the first time in about two months, that it is treating #COVID19 patients again. Two people with the virus are now hospitalized in St. Catharines."
48,2020-09-29 20:34:33+00:00,StephenPunwasi,"Oh, my. 😬

Ontario didn’t give anyone any more information on its  #COVID19 plan, but warned about salmonella. 

#onpoli #cdnpoli"
49,2020-09-29 20:32:54+00:00,GCraughwell,#COVID19 Under no circumstances shoukd the @defenceforces be used for crowd control in any city. The Garda are the civil authority &amp; all they need are the powers of enforcement. @RACO_DF @pdforra @AGSI_Ireland
50,2020-09-29 20:32:23+00:00,angiebeeb,George Lee gets very animated about the #Covid. Reminds me of when we had two sunny weeks three years ago!
51,2020-09-29 20:30:45+00:00,sabir_zazai,The impact of #COVID19 could be greater on people seeking protection. Thanks @joannaccherry @Stuart_McDonald @MartynDaySNP @DavidLinden @ChrisStephens for advocating for #RefugeeRights over past few days against outsourcing asylum interviews and evictions into a deadly pandemic.
52,2020-09-29 20:26:17+00:00,GinaS1116,"Just when you think all hope is lost, along comes a moment of clarity &amp; a sign from dad that he wants to continue this battle. And that’s what we are gonna do. #Covid19 is a vicious opponent, but we won’t go down without every possible fight."
53,2020-09-29 20:25:11+00:00,nicolemdevlin,"I was pleasantly surprised to receive an email today from @QUBPsych stating I had won a prize for highest-marked thesis (undergrad) for 2020. After a difficult final year, this brightened up my day! The hard work was worth it! 📚 #COVID19 #psychology"
54,2020-09-29 20:24:11+00:00,Marc_Perrone,"Daily US death toll from #Covid19 is like

FIVE 737-Max8 jets crashing EVERYDAY killing everyone on board.

✈️✈️✈️✈️✈️

Over 205,000 Americans have been killed by the Coronavirus so far.

That's 1,025 jet crashes since March 2020.

Still No plan.

🦠

#Debates2020 #1u #WearAMask"
55,2020-09-29 20:18:43+00:00,wendywooldridge,"Help🙏 off to Scotland tomorrow shall I pack, summer or winter clothes? 🤷‍♀️#standrews #dunhilllinks #cancelled #COVID19"
56,2020-09-29 20:17:42+00:00,StephenQ3340,"BREAKING: @AlabamaABC votes to rescind order requiring 11 p.m. last call for bars, restaurants @abc3340 @spann #coronavirus #COVID19"
57,2020-09-29 20:17:07+00:00,StephenBlais,At least one hospital in Ottawa had to cancel surgeries today because they are full as a result of #COVID19. The second wave of #COVID19Ontario is here. It's time to take decisive action to stop the spread. #ottcity #onpoli
58,2020-09-29 20:16:51+00:00,AngelaInKy502,"#Kentucky #Covid19 New#’s

1018 New cases😷😳
*2nd highest #’s

67,856 Total cases

1,446,385 Total tested

4.24 Positivity rate

8 New losses to Covid19
💚💚💚💚💚💚💚💚

1170 Kentuckians lost to Covid19😢

129/81 in ICU/Vent🙏🏻

156/TBA Children 5/18yrs younger

#MaskUpKY"
59,2020-09-29 20:10:45+00:00,BubblyDentist,"I have forgotten how it is to be hugged, kissed, feel the warmth and comfort of someone who loves me. Fuck you #COVID19!"
60,2020-09-29 20:10:34+00:00,dbtindall,"What is with the people who wear a mask, but who don't use it to cover their nose? What exactly do they think the purpose of the mask is? To hide their smile? #covid"
61,2020-09-29 20:09:17+00:00,angiebeeb,"Is it a type of arrogance that Ireland’s acting CMO, @ronan_glynn appeals to the public while he doesn’t bother his arse showing up at the #Covid Committee Meeting!"
62,2020-09-29 20:07:52+00:00,ZackFinkNews,"Per @NYGovCuomo, there were 1,189 new positive #coronavirus cases in New York State yesterday, 523 were here in the City. 2 people lost their lives to the virus in the last 24 hours in New York State, and 571 people remain hospitalized statewide."
63,2020-09-29 20:04:14+00:00,CheriDiNovo,"We’re going back to only online worship @trinitystpauls after only 3 joyous in person, safe services in 7 months. I’m thinking of those who can’t access online and those for whom Church is their only sanctuary. We need to do this because @fordnation didn’t do their job #COVID19"
64,2020-09-29 19:59:56+00:00,SBAgov,"𝙌𝙪𝙚𝙨𝙩𝙞𝙤𝙣: Can sole proprietors and independent contractors apply for a #COVID19 Economic Injury Disaster Loan? 

𝘼𝙣𝙨𝙬𝙚𝙧: Yes! Small businesses, nonprofits, faith-based organizations, sole proprietors, &amp; independent contractors are eligible. 

🔽Learn more &amp; apply:🔽"
65,2020-09-29 19:58:36+00:00,lisaphillips,"People hate wearing masks (especially over their nose) but imagine how it feels to lose a loved one in a busy ICU without saying goodbye. Much more uncomfortable, believe me. 

#WearAMask #COVID19"
66,2020-09-29 19:56:02+00:00,andrewatdca,"Thank you @SpeakerPelosi &amp; @stevenmnuchin1 for talking today about #Covid relief for the 🇺🇸.  Please continue the talk, as many need relief now - especially my @afa_cwa co-workers who have truly been on the frontlines during this health crisis.  Extend #PSP before time runs out!"
67,2020-09-29 19:54:59+00:00,lapublichealth,Just your friendly daily reminder to wear your face covering (over your mouth AND nose) and help us #SlowtheSpread of #COVID19.
68,2020-09-29 19:53:48+00:00,jasonfechner,"#BREAKING: Ahead of President Trump's scheduled campaign rally in #GreenBay, #Wisconsin Saturday, @BellinHealth just said their hospital there is now at 94% capacity as #COVID19 continues to spike in that community-- the state's positivity rate is now at 23.66% since Sunday."
69,2020-09-29 19:51:48+00:00,ThatTimWalker,"I asked an eminent scientist today if our species - maybe as a result of fast food, lack of exercise, anxiety, too many antibiotics - is not now more susceptible to viruses, such as #COVID19. He said ‘no,’ which makes for a boring tweet, but there it is."
70,2020-09-29 19:48:35+00:00,rodmickleburgh,"Let me also say this about @adriandix He has been a superb health minister, and not just during #COVID19 #bcpoli"
